"ID","Price","AccruedInterest","Yield","Term","ModifiedDuration","KeyRateDuration","Convexity"
"2","94.752960000000","0.250685","3.171229","3.3","3.2017","{""KeyRate1Y"": -0.015, ""KeyRate2Y"": -0.036, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.165, ""KeyRate4Y"": 1.065, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.119900"
"2","95.052760000000","0.254795","3.074116","3.3","3.2007","{""KeyRate1Y"": -0.015, ""KeyRate2Y"": -0.034, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.171, ""KeyRate4Y"": 1.055, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.119835"
"2","95.081022000000","0.258904","3.066114","3.3","3.1982","{""KeyRate1Y"": -0.015, ""KeyRate2Y"": -0.034, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.192, ""KeyRate4Y"": 1.025, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.119659"
"2","94.698626000000","0.263014","3.193187","3.3","3.1933","{""KeyRate1Y"": -0.016, ""KeyRate2Y"": -0.037, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.201, ""KeyRate4Y"": 1.017, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.005, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.119313"
"2","94.363298000000","0.275343","3.308379","3.3","3.1832","{""KeyRate1Y"": -0.017, ""KeyRate2Y"": -0.039, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.209, ""KeyRate4Y"": 1.009, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.006, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.118613"
"2","94.251648000000","0.279452","3.346963","3.3","3.1798","{""KeyRate1Y"": -0.017, ""KeyRate2Y"": -0.039, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.215, ""KeyRate4Y"": 0.999, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.006, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.118380"
"2","94.398363000000","0.283562","3.299656","3.3","3.1779","{""KeyRate1Y"": -0.017, ""KeyRate2Y"": -0.039, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.222, ""KeyRate4Y"": 0.989, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.006, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.118253"
"2","94.266209000000","0.287671","3.345110","3.3","3.1744","{""KeyRate1Y"": -0.017, ""KeyRate2Y"": -0.04, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.244, ""KeyRate4Y"": 0.96, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.006, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.118012"
"2","93.943882000000","0.291781","3.454300","3.3","3.1698","{""KeyRate1Y"": -0.018, ""KeyRate2Y"": -0.042, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.251, ""KeyRate4Y"": 0.951, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.006, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.117693"
"2","94.035010000000","0.304110","3.428514","3.3","3.1622","{""KeyRate1Y"": -0.018, ""KeyRate2Y"": -0.042, ""KeyRate3M"": 0.002, ""KeyRate3Y"": 2.258, ""KeyRate4Y"": 0.942, ""KeyRate5Y"": 0.0, ""KeyRate6M"": -0.006, ""KeyRate6Y"": 0.0, ""KeyRate7Y"": 0.0, ""KeyRate8Y"": 0.0, ""KeyRate9Y"": 0.0, ""KeyRate10Y"": 0.0, ""KeyRate15Y"": 0.0, ""KeyRate20Y"": 0.0, ""KeyRate25Y"": 0.0, ""KeyRate30Y"": 0.0}","0.117172"
