"ID","Day","Quantity"
"47","17","6233"
"544","17","426"
"572","17","965"
"600","17","4789"
"743","17","3668"
"863","17","6704"
"1061","17","6820"
"1389","17","5491"
"18211","17","5065"
"22022","17","33504"
"23043","17","5487"
"24089","17","5296"
"28171","17","6023"
"57357","17","26722"
"60691","17","5245"
"69486","17","21680"
"95660","17","22933"
"95841","17","13464"
"96011","17","13704"
"100761","17","14597"
"101016","17","31143"
"102904","17","9938"
"103294","17","28890"
"104994","17","14806"
"105192","17","13884"
"105225","17","28352"
"107284","17","11400"
"107909","17","14795"
"108613","17","23405"
"109056","17","5000"
"110488","17","16000"
"110670","17","16500"
"111823","17","10000"
"112003","17","21000"
"112121","17","16000"
"113376","17","11500"
"113740","17","15000"
"116207","17","500"
"117086","17","2000"
"2","18","5757"
"4","18","8273"
"14","18","9808"
"18","18","7396"
"33","18","6672"
"47","18","6233"
"544","18","426"
"572","18","965"
"600","18","4789"
"743","18","3668"
"863","18","6704"
"1061","18","6820"
"1389","18","5491"
"18211","18","5065"
"22022","18","33504"
"23043","18","5487"
"24089","18","5296"
"28171","18","6023"
"57357","18","26722"
"60691","18","5245"
"69486","18","21680"
"95660","18","22933"
"95841","18","13464"
"96011","18","13704"
"100761","18","14597"
"101016","18","31143"
"102904","18","9938"
"103294","18","28890"
"104994","18","14806"
"105192","18","13884"
"105225","18","28352"
"107284","18","11400"
"107909","18","14795"
"108613","18","23405"
"109056","18","5000"
"110488","18","16000"
"110670","18","16500"
"111823","18","10000"
"112003","18","21000"
"112121","18","16000"
"113376","18","11500"
"113740","18","15000"
"116207","18","500"
"117086","18","2000"
"2","19","5757"
"4","19","8273"
"14","19","9808"
"18","19","7396"
"33","19","6672"
"47","19","6233"
"544","19","426"
"572","19","965"
"600","19","4789"
"743","19","3668"
"863","19","6704"
"1061","19","6820"
"1389","19","5491"
"18211","19","5065"
"22022","19","33504"
"23043","19","5487"
"24089","19","5296"
"28171","19","6023"
"57357","19","26722"
"60691","19","5245"
"69486","19","21680"
"95660","19","22933"
"95841","19","13464"
"96011","19","13704"
"100761","19","14597"
"101016","19","31143"
"102904","19","9938"
"103294","19","28890"
"104994","19","14806"
"105192","19","13884"
"105225","19","28352"
